ID,Name,Price,"Quantity on Hand"
1266,"Egyptian blue Loveseat",$669.99,40
1267,"Japanese violet Bed",$389.99,66
1268,"Persian indigo Chaise Lounge",$235.99,94
1269,"Amazon green End Table",$99.99,100
1270,"Middle yellow Coffee Table",$222.95,174
1271,"Saddle brown Sleeper Sofa","$1,279.99",241
1272,"Dark brown Stool",$54.99,193
1273,"Old silver Sleeper Sofa","$1,279.99",116
1274,"Sunray gold Wardrobe",$719.99,97
1275,"Neon fuchsia Chaise Lounge",$235.99,195
1276,"Citron Sofa",$1249.99,230
1277,"Blue sapphire Sectional","$1,039.99",111
1278,"Steel Teal Stool",$54.99,63
1279,"Candy pink Chaise Lounge",$235.99,71
1280,"Laser lemon Ottoman",$92.99,217
1281,"Dark chocolate Loveseat",$669.99,161
1282,"Vanilla Stool",$54.99,153
1283,"Mulberry Nightstand",$81.99,161
1284,"Taupe Chaise Lounge",$235.99,199
1285,"English vermillion Futon",$419.99,120
1286,"India green Plant Stand",$42.99,175
1287,"Mexican pink Bench",$114.99,124
1288,"St. Patrick's blue Chaise Lounge",$235.99,34
1289,"Harvard Crimson Bed",$389.99,228
1290,"MSU green Nightstand",$81.99,81
1291,"Golden poppy Sofa",$1249.99,207
1292,"Tuscan red Bench",$114.99,183
1293,"Bottle green Storage Bench",$194.99,51
1294,"Sap green Ottoman",$92.99,96
1295,"Battleship grey Stool",$54.99,146
1296,"Moss green Wardrobe",$719.99,127
1297,"Cedar Chest Wardrobe",$719.99,209
1298,"Oxford blue Storage Bench",$194.99,128
1299,"Prune Reclining Sofa","$1,119.99",93
1300,"Cerulean Plant Stand",$42.99,142
1301,"Blanched almond Dining Chair",$89.99,37
1302,"Pale Dogwood Sleeper Sofa","$1,279.99",187
1303,"Blue-green Chaise Lounge",$235.99,187
1304,"Dark khaki Chaise Lounge",$235.99,110
1305,"French pink Headboard",$222.99,93
1306,"Raspberry glace Daybed",$711.99,111
1307,"Unmellow yellow Stool",$54.99,138
1308,"Cornsilk Futon",$419.99,141
1309,"Amethyst Bench",$114.99,166
1310,"Café noir Crib",$289,90
1311,"Neon fuchsia Headboard",$222.99,228
1312,"Han blue Futon",$419.99,140
1313,"Dark pastel green Sofa",$1249.99,105
1314,"Deep cerise Bench",$114.99,217
1315,"Medium turquoise Stool",$54.99,225
1316,"Payne's grey Wardrobe",$719.99,67
1317,"Snow white Reclining Loveseat","$1,023.99",29
1318,"Iceberg Reclining Sofa","$1,119.99",178
1319,"Light green Nightstand",$81.99,112
1320,"Café au lait Loveseat",$669.99,148
1321,"Queen blue Headboard",$222.99,166
1322,"Lemon chiffon Headboard",$222.99,148
1323,"Chinese red Nightstand",$81.99,244
1324,"Scarlet Wardrobe",$719.99,213
1325,"Non-photo blue Wardrobe",$719.99,99
1326,"Coyote brown Reclining Sofa","$1,119.99",35
1327,"Fire opal Ottoman",$92.99,99
1328,"OU Crimson red Chaise Lounge",$235.99,92
1329,"International orange Dining Table",$800,74
1330,"Shamrock green Dining Table",$800,136
1331,"Slimy green Sleeper Sofa","$1,279.99",218
1332,"Rich black Bed",$389.99,160
1333,"Dark sea green Ottoman",$92.99,173
1334,"Burnished brown Sleeper Sofa","$1,279.99",206
1335,"Aquamarine Crib",$289,176
1336,"Ash gray Dining Table",$800,246
1337,"Dark khaki Nightstand",$81.99,112
1338,"Rose madder Sleeper Sofa","$1,279.99",181
1339,"Illuminating emerald Sleeper Sofa","$1,279.99",182
1340,"Silver chalice Dresser",$599.99,103
1341,"Harvest gold Chaise Lounge",$235.99,233
1342,"Quinacridone magenta End Table",$99.99,216
1343,"Magenta Bench",$114.99,147
1344,"Melon pink Plant Stand",$42.99,231
1345,"UA red End Table",$99.99,186
1346,"Denim blue Headboard",$222.99,206
1347,"Lion gold Ottoman",$92.99,233
1348,"Vivid tangerine Daybed",$711.99,223
1349,"Neon Carrot Plant Stand",$42.99,35
1350,"Mauvelous Dining Table",$800,169
1351,"Lion gold Headboard",$222.99,235
1352,"Radical Red Headboard",$222.99,177
1353,"Quinacridone magenta Daybed",$711.99,42
1354,"French bistre Reclining Loveseat","$1,023.99",172
1355,"Cameo pink Plant Stand",$42.99,210
1356,"Cinnabar Stool",$54.99,129
1357,"Brink pink Storage Bench",$194.99,65
1358,"Nickel End Table",$99.99,247
1359,"Blast-off bronze Futon",$419.99,232
1360,"Bistre brown Stool",$54.99,155
1361,"Pictorial carmine Dresser",$599.99,153
1362,"Arctic lime Sofa",$1249.99,45
1363,"Indian red Bench",$114.99,132
1364,"Rust End Table",$99.99,102
1365,"Medium purple Dining Chair",$89.99,193
1366,"Fern green Headboard",$222.99,72
1367,"Dark lava Bench",$114.99,71
1368,"Dark sea green Reclining Loveseat","$1,023.99",97
1369,"Orchid pink Reclining Loveseat","$1,023.99",188
1370,"Azure Dining Chair",$89.99,139
1371,"Mauve Futon",$419.99,99
1372,"Middle purple Sleeper Sofa","$1,279.99",57
1373,"Flame Loveseat",$669.99,153
1374,"Light sea green Storage Bench",$194.99,191
1375,"Raw umber Sleeper Sofa","$1,279.99",104
1376,"Upsdell red Futon",$419.99,247
1377,"Medium blue Stool",$54.99,101
1378,"United Nations blue Stool",$54.99,200
1379,"Electric violet End Table",$99.99,235
1380,"Burnt sienna Ottoman",$92.99,167
1381,"Jazzberry jam Sofa",$1249.99,82
1382,"Papaya whip Sectional","$1,039.99",114
1383,"Frostbite pink Futon",$419.99,247
1384,"Bright maroon Dining Table",$800,202
1385,"Duke blue Bed",$389.99,54
1386,"Coral Bed",$389.99,117
1387,"Dutch white Plant Stand",$42.99,225
1388,"Sacramento State green Ottoman",$92.99,199
1389,"Orange-red Chaise Lounge",$235.99,69
1390,"Mahogany Futon",$419.99,243
1391,"Sunray gold Ottoman",$92.99,69
1392,"Carmine Dining Chair",$89.99,123
1393,"Caribbean green Crib",$289,224
1394,"Laurel green Bench",$114.99,59
1395,"Tea green Sofa",$1249.99,36
1396,"Golden poppy Sleeper Sofa","$1,279.99",182
1397,"Midnight blue Coffee Table",$222.95,170
1398,"Dark moss green Sofa",$1249.99,164
1399,"Taupe gray Plant Stand",$42.99,184
1400,"Resolution blue Futon",$419.99,146
1401,"Tickle Me Pink Headboard",$222.99,56
1402,"Dark orchid Bench",$114.99,177
1403,"Blush Plant Stand",$42.99,162
1404,"United Nations blue Reclining Sofa","$1,119.99",97
1405,"UA red Plant Stand",$42.99,193
1406,"Lemon chiffon Sectional","$1,039.99",165
1407,"Persian plum Dining Chair",$89.99,173
1408,"Alabaster Sleeper Sofa","$1,279.99",243
1409,"Rose bonbon Futon",$419.99,49
1410,"Charleston green Bed",$389.99,58
1411,"Sunset Storage Bench",$194.99,224
1412,"Winter Sky Sleeper Sofa","$1,279.99",138
1413,"Picotee blue Chaise Lounge",$235.99,247
1414,"Middle red Reclining Sofa","$1,119.99",226
1415,"Pistachio Sleeper Sofa","$1,279.99",208
1416,"Ochre Reclining Loveseat","$1,023.99",88
1417,"Lemon meringue Reclining Loveseat","$1,023.99",43
1418,"Pacific blue End Table",$99.99,30
1419,"Persian plum Futon",$419.99,209
1420,"Pine green Wardrobe",$719.99,148
1421,"Taupe gray Storage Bench",$194.99,99
1422,"Laurel green Ottoman",$92.99,212
1423,"Arctic lime Loveseat",$669.99,43
1424,"Spanish green Crib",$289,150
1425,"Dark lava Sofa",$1249.99,196
1426,"Red-purple Nightstand",$81.99,215
1427,"Snow white Reclining Sofa","$1,119.99",161
1428,"Aero blue Plant Stand",$42.99,122
1429,"Pale aqua Futon",$419.99,203
1430,"Copper Bed",$389.99,49
1431,"Cerulean blue Futon",$419.99,148
1432,"Honolulu blue Crib",$289,66
1433,"June bud Reclining Loveseat","$1,023.99",59
1434,"Fuchsia Dining Chair",$89.99,223
1435,"Cameo pink Bed",$389.99,163
1436,"Amazon green Bed",$389.99,60
1437,"Citron Headboard",$222.99,115
1438,"Emerald Reclining Sofa","$1,119.99",28
1439,"Paradise pink Bed",$389.99,108
1440,"Smoky black Stool",$54.99,161
1441,"Tawny Headboard",$222.99,64
1442,"June bud Dining Chair",$89.99,58
1443,"English vermillion Chaise Lounge",$235.99,117
1444,"Maroon Stool",$54.99,136
1445,"School Bus Yellow Futon",$419.99,83
1446,"Mountbatten pink Dining Chair",$89.99,172
1447,"Medium purple Sleeper Sofa","$1,279.99",240
1448,"Sheen green Loveseat",$669.99,228
1449,"Rebecca Purple Dining Chair",$89.99,40
1450,"Cardinal End Table",$99.99,81
1451,"French lime Reclining Loveseat","$1,023.99",209
1452,"Wheat gold Stool",$54.99,110
1453,"Red-purple Daybed",$711.99,141
1454,"Little boy blue Stool",$54.99,31
1455,"Carnation pink Sectional","$1,039.99",157
1456,"Spanish pink End Table",$99.99,238
1457,"Forest green Crib",$289,246
1458,"Pictorial carmine Storage Bench",$194.99,28
1459,"Powder blue Sofa",$1249.99,189
1460,"Pink Sherbet Bed",$389.99,200
1461,"Slate blue Stool",$54.99,85
1462,"Ultra red Sleeper Sofa","$1,279.99",113
1463,"Linen Headboard",$222.99,204
1464,"Goldenrod Plant Stand",$42.99,209
1465,"Peach Crib",$289,115
1466,"Ultramarine Loveseat",$669.99,234
1467,"Rocket metallic Coffee Table",$222.95,93
1468,"Light gray Dining Chair",$89.99,229
1469,"Middle purple End Table",$99.99,42
1470,"Onyx Reclining Loveseat","$1,023.99",103
1471,"Candy pink Crib",$289,149
1472,"French lilac Headboard",$222.99,92
1473,"Portland Orange Sofa",$1249.99,154
1474,"Platinum Storage Bench",$194.99,97
1475,"Dark sienna Ottoman",$92.99,79
1476,"Pewter Blue Plant Stand",$42.99,28
1477,"Slate gray Nightstand",$81.99,219
1478,"Persian indigo Bed",$389.99,237
1479,"Silver chalice Ottoman",$92.99,148
1480,"Orange soda Sofa",$1249.99,99
1481,"Ebony Crib",$289,114
1482,"Dark cornflower blue Bench",$114.99,227
1483,"UA blue Plant Stand",$42.99,57
1484,"Blue jeans Reclining Sofa","$1,119.99",185
1485,"Coral pink Storage Bench",$194.99,177
1486,"Bittersweet shimmer Bench",$114.99,97
1487,"Ash gray Sleeper Sofa","$1,279.99",40
1488,"Purple Sleeper Sofa","$1,279.99",168
1489,"Brandy Futon",$419.99,230
1490,"Golden brown Dining Chair",$89.99,140
1491,"Process yellow Bench",$114.99,224
1492,"Star command blue Storage Bench",$194.99,135
1493,"Army green Storage Bench",$194.99,234
1494,"Lawn green Chaise Lounge",$235.99,26
1495,"Candy apple red Ottoman",$92.99,159
1496,"Midnight green Chaise Lounge",$235.99,58
1497,"Cadmium orange Chaise Lounge",$235.99,143
1498,"Spanish carmine Bed",$389.99,86
1499,"Indian red Crib",$289,227
1500,"Purple Bench",$114.99,152
1501,"Tart Orange Reclining Loveseat","$1,023.99",171
1502,"Cinnamon Satin Daybed",$711.99,103
1503,"Spanish orange Coffee Table",$222.95,145
1504,"Sienna Nightstand",$81.99,144
1505,"Rose taupe Stool",$54.99,142
1506,"Barn red Stool",$54.99,127
1507,"Metallic Sunburst Sleeper Sofa","$1,279.99",166
1508,"Green-cyan Loveseat",$669.99,102
1509,"Dark lava Sleeper Sofa","$1,279.99",155
1510,"Dark spring green Headboard",$222.99,51
1511,"Magic mint Dining Table",$800,181
1512,"Linen Wardrobe",$719.99,74
1513,"Spanish sky blue Headboard",$222.99,241
1514,"Red-purple Headboard",$222.99,196
1515,"Tan Reclining Loveseat","$1,023.99",71
1516,"Auburn Dining Chair",$89.99,100
1517,"Columbia Blue Wardrobe",$719.99,140
1518,"Khaki Sleeper Sofa","$1,279.99",186
1519,"Silver chalice Dining Table",$800,163
1520,"Aqua End Table",$99.99,242
1521,"Orange soda Headboard",$222.99,212
1522,"Mountain Meadow green Plant Stand",$42.99,119
1523,"Gold Fusion Loveseat",$669.99,194
1524,"Yellow Sunshine Daybed",$711.99,109
1525,"Antique brass Ottoman",$92.99,61
1526,"Manatee grey Sofa",$1249.99,177
1527,"Green Lizard Bed",$389.99,239
1528,"Star command blue Coffee Table",$222.95,38
1529,"Mantis green Sofa",$1249.99,147
1530,"Fiery rose Futon",$419.99,124
1531,"Slate blue Ottoman",$92.99,143
1532,"Space cadet blue Stool",$54.99,120
1533,"Brink pink Storage Bench",$194.99,31
1534,"Neon green Plant Stand",$42.99,92
1535,"Maximum red Dining Table",$800,160
1536,"Android green Wardrobe",$719.99,51
1537,"Medium purple Nightstand",$81.99,94
1538,"Forest green Wardrobe",$719.99,112
1539,"Jasmine Sleeper Sofa","$1,279.99",212
1540,"Tuscan red Coffee Table",$222.95,82
1541,"Peach puff Chaise Lounge",$235.99,142
1542,"Dark jungle green Stool",$54.99,77
1543,"Bitter lemon Bed",$389.99,96
1544,"Rubine red Chaise Lounge",$235.99,109
1545,"Nadeshiko pink Wardrobe",$719.99,91
1546,"Raw umber Futon",$419.99,25
1547,"Satin sheen gold Stool",$54.99,62
1548,"Brilliant rose Reclining Loveseat","$1,023.99",25
1549,"Picotee blue Reclining Sofa","$1,119.99",176
1550,"Medium slate blue Wardrobe",$719.99,29
1551,"Electric indigo End Table",$99.99,103
1552,"Alabaster Sofa",$1249.99,173
1553,"Pale silver Reclining Loveseat","$1,023.99",52
1554,"Medium sea green Bench",$114.99,221
1555,"Violet-red Nightstand",$81.99,109
1556,"Fire opal Bed",$389.99,160
1557,"Dark slate blue Sleeper Sofa","$1,279.99",158
1558,"Green Ottoman",$92.99,87
1559,"Sunray gold Stool",$54.99,161
1560,"Old rose Plant Stand",$42.99,85
1561,"Scarlet Futon",$419.99,83
1562,"British racing green Crib",$289,156
1563,"Mellow apricot Daybed",$711.99,136
1564,"Mystic maroon Reclining Loveseat","$1,023.99",196
1565,"Dark red Sleeper Sofa","$1,279.99",158
1566,"Sunray gold Reclining Sofa","$1,119.99",137
1567,"Field drab Dining Table",$800,88
1568,"Red-violet Loveseat",$669.99,193
1569,"French violet Crib",$289,92
1570,"Paolo Veronese green Plant Stand",$42.99,239
1571,"KSU purple Sectional","$1,039.99",80
1572,"Lavender blue Bench",$114.99,219
1573,"Deep chestnut Reclining Loveseat","$1,023.99",208
1574,"Harvard Crimson Dining Chair",$89.99,103
1575,"Manatee grey Coffee Table",$222.95,70
1576,"Schauss pink Storage Bench",$194.99,151
1577,"English lavender Chaise Lounge",$235.99,214
1578,"Turtle green Wardrobe",$719.99,245
1579,"British racing green Nightstand",$81.99,123
1580,"Persian blue Stool",$54.99,128
1581,"Metallic Sunburst Ottoman",$92.99,201
1582,"Harvard Crimson Bed",$389.99,58
1583,"Pink lace Sofa",$1249.99,41
1584,"Sand dune Dining Table",$800,97
1585,"Brilliant rose Sleeper Sofa","$1,279.99",72
1586,"Unmellow yellow Loveseat",$669.99,130
1587,"Jasmine Loveseat",$669.99,57
1588,"Misty rose Chaise Lounge",$235.99,85
1589,"Cyber grape Sleeper Sofa","$1,279.99",139
1590,"Sheen green Plant Stand",$42.99,172
1591,"Celadon green Dining Chair",$89.99,162
1592,"Carmine Reclining Loveseat","$1,023.99",220
1593,"Lemon yellow Dining Table",$800,197
1594,"Android green Sofa",$1249.99,66
1595,"Lavender blush Chaise Lounge",$235.99,89
1596,"Burnt sienna Daybed",$711.99,238
1597,"Lemon glacier Headboard",$222.99,58
1598,"Opera mauve Sleeper Sofa","$1,279.99",109
1599,"Light cornflower blue Futon",$419.99,91
1600,"Tawny Stool",$54.99,66
1601,"Pear Daybed",$711.99,194
1602,"Syracuse Orange Futon",$419.99,204
1603,"Purple Plum Dresser",$599.99,250
1604,"Yellow Sleeper Sofa","$1,279.99",228
1605,"Persian rose Reclining Sofa","$1,119.99",127
1606,"Periwinkle Ottoman",$92.99,163
1607,"Pale aqua Coffee Table",$222.95,128
1608,"Persian indigo Reclining Loveseat","$1,023.99",140
1609,"Lime Crib",$289,152
1610,"Lavender blush Sleeper Sofa","$1,279.99",160
1611,"Acid green Coffee Table",$222.95,231
1612,"Shadow blue Coffee Table",$222.95,171
1613,"Violet Ottoman",$92.99,211
1614,"Chocolate Sleeper Sofa","$1,279.99",249
1615,"English vermillion Coffee Table",$222.95,204
1616,"Shimmering Blush Daybed",$711.99,248
1617,"Spring green Crib",$289,82
1618,"Desert sand Sectional","$1,039.99",249
1619,"Lemon Daybed",$711.99,72
1620,"Rocket metallic Sleeper Sofa","$1,279.99",194
1621,"English green Crib",$289,114
1622,"Black coral Sleeper Sofa","$1,279.99",186
1623,"Light coral Sectional","$1,039.99",111
1624,"Canary yellow Bench",$114.99,134
1625,"Ultramarine Storage Bench",$194.99,222
1626,"Chili red Dining Table",$800,153
1627,"Castleton green Dining Chair",$89.99,158
1628,"Snow white Reclining Sofa","$1,119.99",107
1629,"Citrine Dresser",$599.99,26
1630,"Medium champagne Stool",$54.99,164
1631,"Wild blue yonder Crib",$289,39
1632,"Rose taupe Reclining Sofa","$1,119.99",148
1633,"Azure Chaise Lounge",$235.99,234
1634,"Roman silver Stool",$54.99,214
1635,"Carmine Dining Chair",$89.99,240
1636,"Light orange Nightstand",$81.99,76
1637,"Unbleached silk Reclining Sofa","$1,119.99",191
1638,"Yellow Sunshine Daybed",$711.99,59
1639,"Peach Storage Bench",$194.99,139
1640,"Alloy orange Crib",$289,155
1641,"Earth yellow Stool",$54.99,140
1642,"Bitter lime Ottoman",$92.99,61
1643,"Honeydew Futon",$419.99,180
1644,"Auburn Sectional","$1,039.99",188
1645,"Golden yellow Ottoman",$92.99,215
1646,"Spanish red Daybed",$711.99,62
1647,"Bud green Futon",$419.99,243
1648,"Avocado Stool",$54.99,67
1649,"Royal purple Crib",$289,176
1650,"Golden yellow Plant Stand",$42.99,201
1651,"Lavender Nightstand",$81.99,27
1652,"Mulberry Chaise Lounge",$235.99,250
1653,"Arylide yellow Crib",$289,110
1654,"Frostbite pink Plant Stand",$42.99,108
1655,"Medium slate blue Stool",$54.99,215
1656,"Cyan Stool",$54.99,188
1657,"Hunter green Coffee Table",$222.95,130
1658,"Seashell Crib",$289,48
1659,"Dark sea green End Table",$99.99,145
1660,"United Nations blue Sofa",$1249.99,25
1661,"Deep saffron Daybed",$711.99,133
1662,"Old mauve End Table",$99.99,100
1663,"Yellow-green Sectional","$1,039.99",165
1664,"Columbia Blue Sectional","$1,039.99",94
1665,"Apple green Reclining Loveseat","$1,023.99",156
1666,"Sea green End Table",$99.99,138
1667,"Pale pink End Table",$99.99,148
1668,"Rosy brown Bench",$114.99,199
1669,"Wood brown Bench",$114.99,165
1670,"UP maroon Bed",$389.99,239
1671,"Fern green Bench",$114.99,76
1672,"Dark cornflower blue Ottoman",$92.99,115
1673,"Blue bell Headboard",$222.99,215
1674,"Shocking pink End Table",$99.99,90
1675,"Mexican pink Crib",$289,234
1676,"Tyrian purple End Table",$99.99,170
1677,"Languid lavender Loveseat",$669.99,116
1678,"Misty moss green Sectional","$1,039.99",189
1679,"Safety yellow Sofa",$1249.99,123
1680,"Fluorescent blue Bed",$389.99,202
1681,"Rebecca Purple Reclining Sofa","$1,119.99",202
1682,"Light slate gray Daybed",$711.99,38
1683,"Drab Storage Bench",$194.99,97
1684,"Dark sky blue Futon",$419.99,93
1685,"Light salmon Dining Table",$800,170
1686,"Queen blue Storage Bench",$194.99,248
1687,"Salmon pink Nightstand",$81.99,36
1688,"Livid blue Loveseat",$669.99,41
1689,"Persian red Nightstand",$81.99,174
1690,"Egyptian blue Dining Table",$800,178
1691,"Quinacridone magenta Sleeper Sofa","$1,279.99",185
1692,"Black coral Plant Stand",$42.99,36
1693,"English vermillion Plant Stand",$42.99,162
1694,"Old lavender Headboard",$222.99,169
1695,"African violet End Table",$99.99,85
1696,"Copper Reclining Sofa","$1,119.99",81
1697,"Pansy purple Stool",$54.99,101
1698,"Cinnamon Satin Crib",$289,82
1699,"Prussian blue Futon",$419.99,186
1700,"Red-purple End Table",$99.99,36
1701,"KSU purple Daybed",$711.99,52
1702,"Metallic Sunburst Headboard",$222.99,123
1703,"Tango pink Daybed",$711.99,60
1704,"Corn Dining Chair",$89.99,79
1705,"Tart Orange End Table",$99.99,183
1706,"Bittersweet shimmer Stool",$54.99,230
1707,"New York pink Chaise Lounge",$235.99,36
1708,"Maximum blue green Headboard",$222.99,159
1709,"Dark pastel green Ottoman",$92.99,248
1710,"Rebecca Purple Nightstand",$81.99,214
1711,"Piggy pink Stool",$54.99,208
1712,"Royal purple Bench",$114.99,248
1713,"Vivid sky blue Storage Bench",$194.99,99
1714,"Warm black Stool",$54.99,109
1715,"Flax Sofa",$1249.99,76
1716,"Steel pink Nightstand",$81.99,231
1717,"Arylide yellow Chaise Lounge",$235.99,143
1718,"Sky blue Reclining Sofa","$1,119.99",82
1719,"Terra cotta Bed",$389.99,53
1720,"Bright green Reclining Loveseat","$1,023.99",163
1721,"Magenta haze Reclining Loveseat","$1,023.99",69
1722,"Brown Chaise Lounge",$235.99,138
1723,"Wild Strawberry Reclining Loveseat","$1,023.99",180
1724,"Burnt sienna Dresser",$599.99,151
1725,"Pink Sherbet Dining Table",$800,175
1726,"Umber Futon",$419.99,30
1727,"Cyan Futon",$419.99,151
1728,"UP Forest green Coffee Table",$222.95,76
1729,"Black olive Dresser",$599.99,40
1730,"Blood red Daybed",$711.99,47
1731,"Baker-Miller pink Reclining Loveseat","$1,023.99",183
1732,"Pale Dogwood Crib",$289,199
1733,"Chinese violet Nightstand",$81.99,106
1734,"Ruby red Wardrobe",$719.99,27
1735,"Bistre brown Bench",$114.99,186
1736,"Taupe Crib",$289,45
1737,"Brick red Ottoman",$92.99,212
1738,"Brunswick green Storage Bench",$194.99,168
1739,"Neon green Storage Bench",$194.99,25
1740,"Yellow Orange Crib",$289,72
1741,"Sand dune Dresser",$599.99,88
1742,"Maximum red purple Bench",$114.99,91
1743,"Golden brown Dresser",$599.99,205
1744,"Middle green Crib",$289,53
1745,"Antique white Sleeper Sofa","$1,279.99",134
1746,"Spanish red Storage Bench",$194.99,131
1747,"Tangerine Dresser",$599.99,168
1748,"Light blue Bench",$114.99,94
1749,"Pink Chaise Lounge",$235.99,26
1750,"Middle blue Ottoman",$92.99,67
1751,"Blue End Table",$99.99,169
1752,"Indigo dye Sectional","$1,039.99",42
1753,"Mint Bench",$114.99,228
1754,"Blue-green End Table",$99.99,64
1755,"Bitter lemon Sectional","$1,039.99",111
1756,"Malachite green Futon",$419.99,241
1757,"Maximum blue purple Daybed",$711.99,212
1758,"Tart Orange Wardrobe",$719.99,106
1759,"Dark brown Dining Chair",$89.99,167
1760,"Auburn Bed",$389.99,250
1761,"Blast-off bronze Reclining Sofa","$1,119.99",50
1762,"Heliotrope Bench",$114.99,176
1763,"Hollywood cerise Reclining Sofa","$1,119.99",193
1764,"Chrome yellow End Table",$99.99,56
1765,"Scarlet End Table",$99.99,36
1766,"Deep pink Bed",$389.99,229
1767,"MSU green Nightstand",$81.99,186
1768,"Dark orange Reclining Loveseat","$1,023.99",163
1769,"Cinnabar Reclining Sofa","$1,119.99",165
1770,"Sienna Dining Chair",$89.99,150
1771,"Sheen green Storage Bench",$194.99,238
1772,"Plum Stool",$54.99,172
1773,"Plum End Table",$99.99,181
1774,"Deep taupe Ottoman",$92.99,34
1775,"Pink Storage Bench",$194.99,33
1776,"B'dazzled blue Bench",$114.99,148
1777,"Lavender Bench",$114.99,188
1778,"Mimi pink Sleeper Sofa","$1,279.99",129
1779,"Wood brown Loveseat",$669.99,49
1780,"Light blue Reclining Sofa","$1,119.99",210
1781,"Laser lemon Storage Bench",$194.99,183
1782,"Pale silver Reclining Sofa","$1,119.99",30
1783,"Spring Frost Sleeper Sofa","$1,279.99",40
1784,"Van Dyke brown Loveseat",$669.99,44
1785,"Tyrian purple Sleeper Sofa","$1,279.99",229
1786,"Coyote brown Loveseat",$669.99,173
1787,"Italian sky blue Reclining Sofa","$1,119.99",140
1788,"Blue-violet Coffee Table",$222.95,132
1789,"Spanish carmine Wardrobe",$719.99,86
1790,"Dark cyan Storage Bench",$194.99,38
1791,"Dark orange Plant Stand",$42.99,38
1792,"Deep pink Loveseat",$669.99,195
1793,"Tiffany Blue Ottoman",$92.99,143
1794,"Ocean Blue Loveseat",$669.99,173
1795,"Alabaster Headboard",$222.99,119
1796,"Eton blue Sleeper Sofa","$1,279.99",118
1797,"Blue bell Dining Chair",$89.99,203
1798,"Orange soda Plant Stand",$42.99,31
1799,"Chinese yellow Bed",$389.99,227
1800,"June bud Reclining Loveseat","$1,023.99",39
1801,"Cosmic latte End Table",$99.99,158
1802,"Flame Loveseat",$669.99,211
1803,"Espresso Dresser",$599.99,129
1804,"Blond Crib",$289,83
1805,"Dark olive green Dining Table",$800,81
1806,"Fluorescent blue Bed",$389.99,40
1807,"Rose Pompadour Crib",$289,75
1808,"Desert sand Dining Table",$800,140
1809,"Maize End Table",$99.99,92
1810,"Light gray Headboard",$222.99,196
1811,"Heliotrope Stool",$54.99,231
1812,"Barn red Headboard",$222.99,140
1813,"Desert sand Headboard",$222.99,94
1814,"Razzle dazzle rose Dining Table",$800,239
1815,"Italian sky blue Reclining Sofa","$1,119.99",148
1816,"Light green Futon",$419.99,180
1817,"Dark olive green Nightstand",$81.99,154
1818,"Sunset Daybed",$711.99,183
1819,"Vivid tangerine Ottoman",$92.99,218
1820,"Baker-Miller pink Bed",$389.99,155
1821,"Medium sea green Dining Chair",$89.99,48
1822,"Lava Bed",$389.99,119
1823,"Antique brass Dresser",$599.99,83
1824,"Light sea green Nightstand",$81.99,180
1825,"Electric blue Coffee Table",$222.95,33
1826,"French mauve Dining Chair",$89.99,140
1827,"Pumpkin Futon",$419.99,213
1828,"Old rose Nightstand",$81.99,78
1829,"French mauve Coffee Table",$222.95,128
1830,"Black Dining Table",$800,41
1831,"Rose bonbon Headboard",$222.99,160
1832,"Saffron Coffee Table",$222.95,164
1833,"Ming Sectional","$1,039.99",235
1834,"Pistachio Sectional","$1,039.99",249
1835,"Copper Daybed",$711.99,173
1836,"Antique brass Daybed",$711.99,149
1837,"Orange-yellow Wardrobe",$719.99,216
1838,"Fawn Storage Bench",$194.99,83
1839,"Misty rose Stool",$54.99,48
1840,"Dark magenta Storage Bench",$194.99,57
1841,"Japanese carmine Bench",$114.99,119
1842,"Dodger blue Sleeper Sofa","$1,279.99",180
1843,"Fire engine red Storage Bench",$194.99,213
1844,"Super pink Dining Chair",$89.99,246
1845,"Cadmium orange Storage Bench",$194.99,36
1846,"Gold Chaise Lounge",$235.99,182
1847,"Dark jungle green Bench",$114.99,193
1848,"Taupe gray Dresser",$599.99,168
1849,"Burgundy Sleeper Sofa","$1,279.99",151
1850,"Dark spring green Bed",$389.99,189
1851,"Indigo dye Futon",$419.99,185
1852,"Imperial red Headboard",$222.99,177
1853,"Chestnut Crib",$289,41
1854,"Cyan Sleeper Sofa","$1,279.99",247
1855,"Ruby red Bed",$389.99,224
1856,"Rose madder Sectional","$1,039.99",150
1857,"Sapphire blue Sectional","$1,039.99",89
1858,"Violet-red Plant Stand",$42.99,36
1859,"Sage green Sleeper Sofa","$1,279.99",222
1860,"Rose taupe Plant Stand",$42.99,27
1861,"Dark blue-gray Crib",$289,249
1862,"Bright lilac Coffee Table",$222.95,210
1863,"Vanilla Daybed",$711.99,54
1864,"Middle red Reclining Loveseat","$1,023.99",142
1865,"Bittersweet shimmer Sleeper Sofa","$1,279.99",202
1866,"Pear Dresser",$599.99,33
1867,"Red-orange Dining Chair",$89.99,91
1868,"Antique fuchsia Dresser",$599.99,131
1869,"Ultra pink Headboard",$222.99,44
1870,"Space cadet blue Ottoman",$92.99,216
1871,"Dark electric blue Bench",$114.99,233
1872,"Platinum Sofa",$1249.99,67
1873,"Cadmium green Headboard",$222.99,209
1874,"Heliotrope gray Plant Stand",$42.99,88
1875,"Neon green Bench",$114.99,220
1876,"China pink Sectional","$1,039.99",86
1877,"Mountain Meadow green Dresser",$599.99,212
